Division,DivisionID,Perc_65Older,Perc_BornOverseas,Perc_RecentMigrants,Perc_ATSI,Perc_CALD,Perc_EducYear12,Perc_EducHigher,Perc_Secular,Decile_SEIFA,ARIA,Perc_YESMarriage,Perc_YESVoice
Robertson,140/2021,0.21,0.172,0.04,0.028,0.071,0.693,0.469,0.409204267,5.790368272,0.058943,0.657189568,0.435481205
Ryan,328/2021,0.131,0.286,0.135,0.009,0.163,0.894,0.594,0.456791028,8.667567568,0.093714,0.726553938,0.53707397
Scullin,237/2021,0.124,0.399,0.152,0.007,0.51,0.786,0.411,0.206820463,4.133676093,0,0.533730861,0.381670473
Shortland,141/2021,0.205,0.099,0.019,0.039,0.042,0.609,0.453,0.42291439,4.796657382,0.013876,0.676718207,0.385545962
Solomon,702/2021,0.08,0.285,0.155,0.085,0.234,0.639,0.493,0.410806253,6.147410359,2,0.652556543,0.354981535
Spence,409/2021,0.13,0.232,0.072,0.028,0.159,0.581,0.331,0.474905301,2.248826291,0.079287,0.610024917,0.283365613
Stirling,514/2018,0.158,0.397,0.167,0.012,0.312,0.775,0.492,0.350809485,6.413793103,0,0.61105001,0.454114287
Sturt,410/2021,0.199,0.315,0.127,0.007,0.283,0.853,0.524,0.384678203,6.839108911,0.017037,0.615656227,0.437842356
Swan,514/2021,0.134,0.411,0.216,0.018,0.298,0.791,0.501,0.396119491,5.94939759,0,0.64661565,0.43050537
Sydney,142/2021,0.08,0.482,0.286,0.012,0.368,0.806,0.579,0.524207331,8.973684211,0.333333,0.836710474,0.713613696
Tangney,515/2021,0.179,0.394,0.146,0.007,0.251,0.871,0.543,0.372822205,7.675810474,0,0.616336002,0.416829545
Wannon,238/2021,0.206,0.078,0.022,0.016,0.031,0.594,0.388,0.443725535,4.067285383,1.263911,0.610122544,0.316043854
Warringah,143/2021,0.15,0.328,0.131,0.004,0.163,0.856,0.617,0.452767887,9.68914956,0,0.750054813,0.595057228
Watson,144/2021,0.128,0.493,0.173,0.005,0.658,0.818,0.41,0.180023368,4.463476071,0,0.303563814,0.419901397
Wentworth,145/2021,0.15,0.355,0.14,0.004,0.182,0.835,0.616,0.413375587,9.91202346,0,0.808493506,0.627140387
Werriwa,146/2021,0.101,0.415,0.094,0.017,0.541,0.757,0.373,0.13336714,4.497607656,0.068452,0.362620766,0.372435057
Whitlam,147/2021,0.193,0.174,0.024,0.034,0.103,0.622,0.428,0.366003145,4.587223587,0.33899,0.622689067,0.355579554
Wide Bay,329/2021,0.232,0.142,0.03,0.041,0.034,0.634,0.4,0.448074043,3.430446194,0.807715,0.556490212,0.253059487
Wills,239/2021,0.131,0.343,0.139,0.005,0.385,0.842,0.52,0.404998768,6.974504249,0,0.699547262,0.660985106
Wright,330/2021,0.144,0.168,0.041,0.029,0.054,0.7,0.416,0.434040679,4.551569507,0.383336,0.568119053,0.226090702
